"Story","Title","Result","Date","Stability","Duration (s)"
"Services CRUD test","This will create a New Service","SUCCESS","2022-06-19T14:23:16.329+02:00[Europe/Paris]","0.0","0.04"
"Services CRUD test","Verify if the Services was added to the application","SUCCESS","2022-06-19T14:23:16.368+02:00[Europe/Paris]","0.0","0.02"
"Services CRUD test","Update the Services information","SUCCESS","2022-06-19T14:23:16.384+02:00[Europe/Paris]","0.0","0.04"
"Services CRUD test","Delete the Services by ID","SUCCESS","2022-06-19T14:23:16.423+02:00[Europe/Paris]","0.0","0.07"
