"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This will create a New Category","SUCCESS","2022-06-19T14:23:15.873+02:00[Europe/Paris]","0.0","0.05"
"Categories CRUD test","Verify if the Category was added to the application","SUCCESS","2022-06-19T14:23:15.926+02:00[Europe/Paris]","0.0","0.02"
"Categories CRUD test","Update the Category information","SUCCESS","2022-06-19T14:23:15.952+02:00[Europe/Paris]","0.0","0.04"
"Categories CRUD test","Delete the Category by ID","SUCCESS","2022-06-19T14:23:15.994+02:00[Europe/Paris]","0.0","0.1"
