"Story","Title","Result","Date","Stability","Duration (s)"
"Services CRUD test","This will create a New Service","SUCCESS","2022-06-07T16:02:11.418+02:00[Europe/Paris]","0.0","0.05"
"Services CRUD test","Verify if the Services was added to the application","SUCCESS","2022-06-07T16:02:11.464+02:00[Europe/Paris]","0.0","0.02"
"Services CRUD test","Update the Services information","SUCCESS","2022-06-07T16:02:11.489+02:00[Europe/Paris]","0.0","0.05"
"Services CRUD test","Delete the Services by ID","SUCCESS","2022-06-07T16:02:11.540+02:00[Europe/Paris]","0.0","0.04"
