"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","This will create a New product","SUCCESS","2022-06-19T14:23:16.148+02:00[Europe/Paris]","0.0","0.05"
"Products CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-19T14:23:16.198+02:00[Europe/Paris]","0.0","0.02"
"Products CRUD test","Update the Product information","SUCCESS","2022-06-19T14:23:16.220+02:00[Europe/Paris]","0.0","0.04"
"Products CRUD test","Delete the Product by ID","SUCCESS","2022-06-19T14:23:16.262+02:00[Europe/Paris]","0.0","0.03"
