"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This will create a New Category","SUCCESS","2022-06-07T16:02:06.182+02:00[Europe/Paris]","0.0","3.56"
"Categories CRUD test","Verify if the Category was added to the application","SUCCESS","2022-06-07T16:02:09.755+02:00[Europe/Paris]","0.0","0.05"
"Categories CRUD test","Update the Category information","SUCCESS","2022-06-07T16:02:09.806+02:00[Europe/Paris]","0.0","0.07"
"Categories CRUD test","Delete the Category by ID","SUCCESS","2022-06-07T16:02:09.874+02:00[Europe/Paris]","0.0","0.1"
